Castle,BusinessDate,DayOfWeek,HourMinute,Product,ProductUOM,ForecastedAmountOZ,ForecastedSales
CHIC 42,1/24/2022,MONDAY,18:30,FRENCH FRIES,OZ,31.22,94.08
CHIC 42,1/24/2022,MONDAY,18:45,FRENCH FRIES,OZ,25.92,80.01
CHIC 42,1/24/2022,MONDAY,19:00,FRENCH FRIES,OZ,42.56,77.36
CHIC 42,1/24/2022,MONDAY,19:15,FRENCH FRIES,OZ,46.98,95.4
CHIC 42,1/24/2022,MONDAY,19:30,FRENCH FRIES,OZ,29.54,62.7
CHIC 42,1/24/2022,MONDAY,19:45,FRENCH FRIES,OZ,17.98,83.29
CHIC 42,1/24/2022,MONDAY,20:00,FRENCH FRIES,OZ,17,83.38
CHIC 42,1/24/2022,MONDAY,20:15,FRENCH FRIES,OZ,25.92,70.33
CHIC 42,1/24/2022,MONDAY,20:30,FRENCH FRIES,OZ,13.38,50.32
CHIC 42,1/24/2022,MONDAY,20:45,FRENCH FRIES,OZ,17,53.18
CHIC 42,1/24/2022,MONDAY,21:00,FRENCH FRIES,OZ,12.98,59.76
CHIC 42,1/24/2022,MONDAY,21:15,FRENCH FRIES,OZ,13.38,79.61
CHIC 42,1/24/2022,MONDAY,21:30,FRENCH FRIES,OZ,21.06,51.45
CHIC 42,1/24/2022,MONDAY,21:45,FRENCH FRIES,OZ,38.46,56.46
CHIC 42,1/24/2022,MONDAY,22:00,FRENCH FRIES,OZ,30.38,60.12
CHIC 42,1/24/2022,MONDAY,22:15,FRENCH FRIES,OZ,17.44,76.27
CHIC 42,1/24/2022,MONDAY,22:30,FRENCH FRIES,OZ,13.38,59.8
CHIC 42,1/24/2022,MONDAY,22:45,FRENCH FRIES,OZ,8.92,49.81
CHIC 42,1/24/2022,MONDAY,23:00,FRENCH FRIES,OZ,34.44,56.67
CHIC 42,1/24/2022,MONDAY,23:15,FRENCH FRIES,OZ,35.82,67.95
CHIC 42,1/24/2022,MONDAY,23:30,FRENCH FRIES,OZ,17.84,62.66
CHIC 42,1/24/2022,MONDAY,23:45,FRENCH FRIES,OZ,29.98,48.3
CHIC 42,1/24/2022,MONDAY,0:00,FRENCH FRIES,OZ,17,58.68
CHIC 42,1/24/2022,MONDAY,0:15,FRENCH FRIES,OZ,4.46,54.94
CHIC 42,1/24/2022,MONDAY,0:30,FRENCH FRIES,OZ,9.46,43.68
CHIC 42,1/24/2022,MONDAY,0:45,FRENCH FRIES,OZ,26.36,44.28
CHIC 42,1/24/2022,MONDAY,1:00,FRENCH FRIES,OZ,0,48.33
CHIC 42,1/24/2022,MONDAY,1:15,FRENCH FRIES,OZ,39.3,43.42
CHIC 42,1/24/2022,MONDAY,1:30,FRENCH FRIES,OZ,0,23.07
CHIC 42,1/24/2022,MONDAY,1:45,FRENCH FRIES,OZ,13.92,42.78
CHIC 42,1/24/2022,MONDAY,2:00,FRENCH FRIES,OZ,17.84,29.61
CHIC 42,1/24/2022,MONDAY,2:15,FRENCH FRIES,OZ,4.46,35.05
CHIC 42,1/24/2022,MONDAY,2:30,FRENCH FRIES,OZ,25.92,19.6
CHIC 42,1/24/2022,MONDAY,2:45,FRENCH FRIES,OZ,4.46,28.28
CHIC 42,1/24/2022,MONDAY,3:00,FRENCH FRIES,OZ,5,14.94
CHIC 42,1/24/2022,MONDAY,3:15,FRENCH FRIES,OZ,10,34.77
CHIC 42,1/24/2022,MONDAY,3:30,FRENCH FRIES,OZ,0,18.04
CHIC 42,1/24/2022,MONDAY,3:45,FRENCH FRIES,OZ,0,14.85
CHIC 42,1/24/2022,MONDAY,4:00,FRENCH FRIES,OZ,27,16.51
CHIC 42,1/24/2022,MONDAY,4:15,FRENCH FRIES,OZ,4.46,16.6
CHIC 42,1/24/2022,MONDAY,4:30,FRENCH FRIES,OZ,0,14.67
CHIC 42,1/24/2022,MONDAY,4:45,FRENCH FRIES,OZ,17,15.63
CHIC 42,1/24/2022,MONDAY,5:00,FRENCH FRIES,OZ,0,24.05
CHIC 42,1/24/2022,MONDAY,5:15,FRENCH FRIES,OZ,0,22.01
CHIC 42,1/24/2022,MONDAY,5:30,FRENCH FRIES,OZ,0,17.79
CHIC 42,1/24/2022,MONDAY,5:45,FRENCH FRIES,OZ,0,17.72
CHIC 42,1/25/2022,TUESDAY,6:00,FRENCH FRIES,OZ,4.46,17.84
CHIC 42,1/25/2022,TUESDAY,6:15,FRENCH FRIES,OZ,0,25.22
CHIC 42,1/25/2022,TUESDAY,6:30,FRENCH FRIES,OZ,0,22.8
CHIC 42,1/25/2022,TUESDAY,6:45,FRENCH FRIES,OZ,0,26.65
CHIC 42,1/25/2022,TUESDAY,7:00,FRENCH FRIES,OZ,0,19.44
CHIC 42,1/25/2022,TUESDAY,7:15,FRENCH FRIES,OZ,0,26.95
CHIC 42,1/25/2022,TUESDAY,7:30,FRENCH FRIES,OZ,0,36.44
CHIC 42,1/25/2022,TUESDAY,7:45,FRENCH FRIES,OZ,4.46,34.44
CHIC 42,1/25/2022,TUESDAY,8:00,FRENCH FRIES,OZ,4.46,41.07
CHIC 42,1/25/2022,TUESDAY,8:15,FRENCH FRIES,OZ,4.46,42.52
CHIC 42,1/25/2022,TUESDAY,8:30,FRENCH FRIES,OZ,29.54,47.19
CHIC 42,1/25/2022,TUESDAY,8:45,FRENCH FRIES,OZ,13.38,39.69
CHIC 42,1/25/2022,TUESDAY,9:00,FRENCH FRIES,OZ,21.46,45.63
CHIC 42,1/25/2022,TUESDAY,9:15,FRENCH FRIES,OZ,4.46,52.54
CHIC 42,1/25/2022,TUESDAY,9:30,FRENCH FRIES,OZ,13.92,53.87
CHIC 42,1/25/2022,TUESDAY,9:45,FRENCH FRIES,OZ,13.38,50.18
CHIC 42,1/25/2022,TUESDAY,10:00,FRENCH FRIES,OZ,30.82,66.01
CHIC 42,1/25/2022,TUESDAY,10:15,FRENCH FRIES,OZ,0,74.38
CHIC 42,1/25/2022,TUESDAY,10:30,FRENCH FRIES,OZ,26.36,74.09
CHIC 42,1/25/2022,TUESDAY,10:45,FRENCH FRIES,OZ,25.96,72.85
CHIC 42,1/25/2022,TUESDAY,11:00,FRENCH FRIES,OZ,42.92,79.39
CHIC 42,1/25/2022,TUESDAY,11:15,FRENCH FRIES,OZ,52.32,107.48
CHIC 42,1/25/2022,TUESDAY,11:30,FRENCH FRIES,OZ,51.88,121.2
CHIC 42,1/25/2022,TUESDAY,11:45,FRENCH FRIES,OZ,30.38,134.8
CHIC 42,1/25/2022,TUESDAY,12:00,FRENCH FRIES,OZ,43.76,146.51
CHIC 42,1/25/2022,TUESDAY,12:15,FRENCH FRIES,OZ,55.9,140.22
CHIC 42,1/25/2022,TUESDAY,12:30,FRENCH FRIES,OZ,4.46,139.13
CHIC 42,1/25/2022,TUESDAY,12:45,FRENCH FRIES,OZ,34.84,134.14
CHIC 42,1/25/2022,TUESDAY,13:00,FRENCH FRIES,OZ,56.74,123.66
CHIC 42,1/25/2022,TUESDAY,13:15,FRENCH FRIES,OZ,52.86,126.69
CHIC 42,1/25/2022,TUESDAY,13:30,FRENCH FRIES,OZ,39.44,117.98
CHIC 42,1/25/2022,TUESDAY,13:45,FRENCH FRIES,OZ,17.84,105.12
CHIC 42,1/25/2022,TUESDAY,14:00,FRENCH FRIES,OZ,8.92,105.63
CHIC 42,1/25/2022,TUESDAY,14:15,FRENCH FRIES,OZ,31.22,92.13
CHIC 42,1/25/2022,TUESDAY,14:30,FRENCH FRIES,OZ,42.52,100.97
CHIC 42,1/25/2022,TUESDAY,14:45,FRENCH FRIES,OZ,26.36,110.25
CHIC 42,1/25/2022,TUESDAY,15:00,FRENCH FRIES,OZ,38.9,107.94
CHIC 42,1/25/2022,TUESDAY,15:15,FRENCH FRIES,OZ,29.54,96.72
CHIC 42,1/25/2022,TUESDAY,15:30,FRENCH FRIES,OZ,21.46,97.74
CHIC 42,1/25/2022,TUESDAY,15:45,FRENCH FRIES,OZ,12.98,77.97
